
11-03-2009 20:55:45;242;548;775
11-03-2009 20:55:45;551;597;153
11-03-2009 20:55:45;288;662;679
11-03-2009 20:55:45;878;857;73
11-03-2009 20:55:46;594;115;929
11-03-2009 20:55:46;851;330;520
11-03-2009 20:55:46;736;376;32
11-03-2009 20:55:46;419;881;988
11-03-2009 20:55:47;315;207;713
11-03-2009 20:55:47;322;18;735
11-03-2009 20:55:47;759;655;967
11-03-2009 20:55:47;801;618;767
11-03-2009 20:55:48;222;985;0
11-03-2009 20:55:48;895;594;373
11-03-2009 20:55:48;593;556;873
11-03-2009 20:55:49;767;406;486
